"Title","Date","Link","Content"
"교과서협회 ""AI 디지털교과서, '교육자료' 규정 법안 반대"""," 연합뉴스1일 전네이버뉴스 ","https://www.yna.co.kr/view/AKR20241125104300530?input=1195m",""
"'소버린 AI' 어떻게 봐야 할까…""담론 기반 현실적 전략 필요"""," 지디넷코리아언론사 선정2일 전네이버뉴스 ","https://zdnet.co.kr/view/?no=20241123190258",""
"[안경애 칼럼] AI기본법은 첫발떼기일 뿐이다"," 디지털타임스언론사 선정22면 TOP2일 전네이버뉴스 ","https://www.dt.co.kr/contents.html?article_no=2024112502102269650001&ref=naver",""
"[AI브리핑] AI기본법 제정 '급물살'…진흥·규제 균형점 찾았나"," 아이뉴스24언론사 선정3일 전네이버뉴스 ","http://www.inews24.com/view/1786333",""
"조인철 “‘AI 기본법’ 제정 청신호 켜져”"," 아시아경제1일 전네이버뉴스 ","https://view.asiae.co.kr/article/2024112516522870229",""
"AI 기본법·단통법 폐지, 연내 통과 유력… '기대 반 우려 반'"," 뉴데일리2일 전 ","https://biz.newdaily.co.kr/site/data/html/2024/11/25/2024112500103.html",""
"[AI기본법上] ‘고영향AI’란 무엇?..이해민 의원 “위험성만 부각? 능사..."," 디지털데일리언론사 선정2일 전네이버뉴스 ","https://www.ddaily.co.kr/page/view/2024112419494241318",""
"국힘 ""AI기본법·단통법 폐지법 등 '총선 공약' 과방위 소위 통과"""," 뉴시스언론사 선정5일 전네이버뉴스 ","https://www.newsis.com/view/NISX20241121_0002968399",""
"국회 첫 문턱 넘은 ‘단통법’ 폐지 법안…“통신비 절감” vs “지원금..."," 동아일보언론사 선정2일 전네이버뉴스 ","https://www.donga.com/news/It/article/all/20241124/130489229/1",""
"SGA솔루션즈, 들썩…재추진되는 STO 법안 ""한동훈 28일 간담회 참석"""," 빅데이터뉴스2일 전 ","http://www.thebigdata.co.kr/view.php?ud=20241125034812766cd1e7f0bdf_23",""
"'인공지능 생성물에 워터마크' AI 기본법 연내 제정될 듯"," SBS3일 전네이버뉴스 ","https://news.sbs.co.kr/news/endPage.do?news_id=N1007884883&plink=ORI&cooper=NAVER",""
"SGA솔루션즈, 들썩…재추진되는 STO 법안 ""한동훈 28일 간담회 참석"""," 빅데이터뉴스2일 전 ","http://www.thebigdata.co.kr/view.php?ud=20241125034812766cd1e7f0bdf_23",""
"[기고] 2024 미국 인공지능(AI) 관련 법률 제정 동향"," KOTRA해외시장뉴스1일 전 ","http://dream.kotra.or.kr/kotranews/cms/news/actionKotraBoardDetail.do?SITE_NO=3&MENU_ID=130&CONTENTS_NO=1&bbsGbn=246&bbsSn=246&pNttSn=222570",""
"전력망 구축 곳곳서 발목…AI·반도체 등 미래첨단산업 어쩌나"," 뉴스12일 전네이버뉴스 ","https://www.news1.kr/economy/trend/5608881",""
"한동훈 ""AI 분야, 미래 게임체인저…더 많은 지원 필요"""," 뉴시스언론사 선정4일 전네이버뉴스 ","https://www.newsis.com/view/NISX20241122_0002969393",""
"여, AI기본법·반도체특별법 등 정기국회 내 처리 촉구"," 뉴시스언론사 선정5일 전네이버뉴스 ","https://www.newsis.com/view/NISX20241122_0002968868",""
"“반도체·AI 지원 위해 산업은행 자본금 늘리고 신용공여 한도 올려야..."," 매일경제1일 전네이버뉴스 ","https://www.mk.co.kr/article/11177478",""
